5 4 4
0 3 3
4 0 0
010010 010100 010100 001100
001010 001010 001010 100010
101010 101000 110000 000110
100000 100010 010010 000100
010001 010100 011100 000110
000011 000011 101011 000011
010001 000110 101000 001001
010010 000101 100001 100010
001010 011000 000110 001001
101001 100001 001001 100011
100010 001001 110000 000110
000011 110000 010110 000111
000001 001010 010001 000110
010010 100110 001010 000011
010001 000110 100010 000011
000011 010010 000101 000011
011000 010101 010100 000101
101001 010001 000101 001001
101000 010001 000101 100001
100001 010001 010100 000101
